Group,Substance,"Ozone-DepletingPotential*","100-Year GlobalWarming Potential"
Group I,,,
CFCl3,(CFC‐11),1.0,4 750
CF2Cl2,(CFC‐12),1.0,10 900
C2F3Cl3,(CFC‐113),0.8,6 130
C2F4Cl2,(CFC‐114),1.0,10 000
C2F5Cl,(CFC‐115),0.6,7 370
Group II,,,
CF2BrCl,(halon‐1211),3.0,
CF3Br,(halon‐1301),10.0,
C2F4Br2,(halon‐2402),6.0,
